Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_55457_70 	Loose	55.51	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.11
megahit_55457_71 	Loose	32.98	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	111.09
megahit_55457_72 	Loose	28.33	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	99.32
megahit_55457_76 	Loose	28.96	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	95.93
megahit_55457_84 	Loose	21.31	penam	antibiotic target replacement	methicillin resistant PBP2	103.89
megahit_55457_117 	Loose	32.95	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	47.73
megahit_55457_137 	Loose	43.86	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	102.63
megahit_55457_141 	Loose	27.95	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	43.13
megahit_56994_6 	Loose	32.02	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	44.72
megahit_56994_7 	Loose	33.91	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	47.77
megahit_56994_36 	Loose	29.05	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	106.61
megahit_56994_43 	Loose	68.89	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	100.59
megahit_56994_44 	Loose	42.11	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	92.92
megahit_56994_52 	Loose	41.88	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	101.10
megahit_57102_23 	Loose	35.32	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	45.07
megahit_60324_21 	Loose	38.71	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	102.92
megahit_60324_25 	Loose	42.96	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	99.65
megahit_60324_30 	Loose	30.1	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	88.13
megahit_60826_6 	Loose	28.7	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	43.09
megahit_60826_12 	Loose	36.67	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	93.43
megahit_60826_25 	Loose	43.38	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.68
megahit_60826_39 	Loose	34.81	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	97.06
megahit_60826_40 	Loose	43.72	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00
megahit_60826_42 	Loose	25.7	macrolide antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	82.93
megahit_60826_45 	Loose	26.96	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	35.31
megahit_60826_59 	Loose	26.9	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	100.00
megahit_62864_20 	Loose	32.26	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	84.10
megahit_63259_7 	Loose	30.23	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	93.46
megahit_65327_1 	Loose	47.06	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	89.15
megahit_65327_2 	Loose	28.38	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	102.64
megahit_82512_2 	Loose	32.29	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	33.07
megahit_82512_4 	Loose	28.85	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	109.09
megahit_84759_2 	Loose	36.81	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	80.95
megahit_84759_3 	Loose	27.84	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	73.66
megahit_84759_12 	Loose	31.1	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	121.43
megahit_84759_17 	Loose	39.75	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	92.01
megahit_84776_2 	Loose	28.75	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	78.11
megahit_84776_3 	Loose	36.33	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	103.74
megahit_84776_4 	Loose	39.96	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.39
megahit_84776_5 	Loose	28.74	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	104.08
megahit_86435_1 	Loose	30.29	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	96.90
megahit_89866_7 	Loose	24.74	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	99.49
megahit_93804_3 	Loose	34.37	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	103.11
megahit_93804_21 	Loose	35.41	glycopeptide antibiotic	antibiotic target alteration	Van ligase	107.41
megahit_97281_1 	Loose	38.0	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	63.80
megahit_102708_1 	Loose	24.76	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	77.42
megahit_115867_2 	Loose	30.57	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	96.27
megahit_117874_4 	Loose	36.53	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.35
megahit_125104_21 	Loose	28.0	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	109.72
megahit_1814_1 	Loose	28.68	isoniazid	antibiotic target alteration	antibiotic resistant ndh	89.06
megahit_12563_7 	Loose	26.98	pyrazinamide	antibiotic target alteration	Pyrazinamide resistant pncA	102.69
megahit_12711_12 	Loose	26.95	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	114.42
megahit_20809_8 	Loose	55.25	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	104.40
megahit_20809_9 	Loose	41.41	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	102.10
megahit_26273_24 	Loose	47.39	isoniazid; disinfecting agents and antiseptics	antibiotic target alteration	antibiotic resistant fabI	96.95
megahit_39921_33 	Loose	49.47	peptide antibiotic	antibiotic target alteration	daptomycin resistant pgsA	101.04
megahit_46160_10 	Loose	48.45	peptide antibiotic	antibiotic target alteration	daptomycin resistant cls	101.04
megahit_55457_36 	Loose	29.6	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	106.98
megahit_55457_98 	Loose	23.4	macrolide antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	101.43
megahit_62864_6 	Loose	30.28	fosfomycin	antibiotic target alteration	antibiotic-resistant GlpT	100.22
megahit_67291_3 	Loose	25.13	isoniazid; disinfecting agents and antiseptics	antibiotic target alteration	antibiotic resistant fabI	95.04
megahit_39613_2 	Loose	25.6	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	101.47
