Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_58196_2 	Loose	26.5	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	93.01
megahit_58196_3 	Loose	24.25	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	98.10
megahit_59523_2 	Loose	23.64	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	72.35
megahit_59523_9 	Loose	31.7	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase	98.59
megahit_59523_11 	Loose	70.44	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	104.97
megahit_59523_12 	Loose	71.55	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	41.84
megahit_62706_6 	Loose	28.72	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	137.89
megahit_67315_14 	Loose	28.84	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (G748)	96.81
megahit_67979_3 	Loose	44.25	pleuromutilin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	53.40
megahit_68832_5 	Loose	33.6	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	79.08
megahit_68832_10 	Loose	28.31	aminocoumarin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	41.63
megahit_68832_15 	Loose	59.83	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	102.47
megahit_77416_6 	Loose	32.43	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	74.80
megahit_79405_7 	Loose	43.45	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	104.27
megahit_79899_1 	Loose	31.71	nitroimidazole antibiotic	antibiotic target alteration	Antibiotic resistant Helicobacter pylori nitroreductase	38.57
megahit_80689_1 	Loose	35.45	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	28.73
megahit_82519_2 	Loose	34.29	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	81.28
megahit_82519_5 	Loose	31.83	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	96.41
megahit_84553_10 	Loose	41.67	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	99.85
megahit_88056_1 	Loose	52.31	glycopeptide antibiotic	antibiotic target alteration	Van ligase	99.43
megahit_88056_6 	Loose	44.54	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	104.82
megahit_88056_12 	Loose	33.76	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	55.59
megahit_90712_6 	Loose	26.65	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	99.38
megahit_90712_10 	Loose	33.93	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	78.57
megahit_91320_15 	Loose	21.98	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	24.73
megahit_91320_16 	Loose	32.74	aminoglycoside antibiotic	antibiotic efflux	kdpDE	116.44
megahit_93711_3 	Loose	25.49	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	96.58
megahit_93711_4 	Loose	26.75	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	132.36
megahit_93711_16 	Loose	30.73	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	52.85
megahit_93711_19 	Loose	35.04	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.21
megahit_93711_20 	Loose	39.56	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	101.37
megahit_94850_16 	Loose	27.47	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	103.49
megahit_94850_17 	Loose	28.02	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	98.06
megahit_95265_5 	Loose	33.19	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	108.53
megahit_95683_1 	Loose	26.85	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	69.38
megahit_95683_3 	Loose	36.51	aminoglycoside antibiotic	antibiotic inactivation	amp acetyltransferase	73.36
megahit_98831_1 	Loose	26.82	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	97.81
megahit_98831_2 	Loose	34.86	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	34.63
megahit_98831_7 	Loose	37.19	fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	99.32
megahit_104079_2 	Loose	27.67	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	89.63
megahit_104079_11 	Loose	29.73	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	90.62
megahit_104079_14 	Loose	72.26	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	100.25
megahit_104079_21 	Loose	50.85	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	16.46
megahit_105099_5 	Loose	29.13	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	100.47
megahit_105831_8 	Loose	31.92	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.77
megahit_105861_8 	Loose	29.9	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	sal-type ABC-F protein	44.36
megahit_107531_7 	Loose	33.65	aminoglycoside antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100.95
megahit_107531_10 	Loose	34.15	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.97
megahit_116974_1 	Loose	23.59	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	95.70
megahit_117452_7 	Loose	26.1	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	65.77
megahit_118358_3 	Loose	33.33	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	163.95
megahit_118402_5 	Loose	25.66	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	110.96
megahit_118402_7 	Loose	40.81	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	36.18
megahit_123961_6 	Loose	26.43	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	71.14
megahit_125861_1 	Loose	26.78	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	29.16
megahit_125861_17 	Loose	38.18	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	108.45
megahit_125961_9 	Loose	39.32	fusidic acid	antibiotic target protection	Target protecting FusB-type protein conferring resistance to Fusidic acid	95.77
megahit_125961_10 	Loose	29.41	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	85.94
megahit_127180_6 	Loose	31.75	lincosamide antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	170.73
megahit_127180_11 	Loose	32.05	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	81.25
megahit_127596_2 	Loose	37.36	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	102.20
megahit_128338_4 	Loose	73.91	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	100.43
megahit_129508_2 	Loose	26.13	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	47.89
megahit_131818_4 	Loose	27.09	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	87.17
megahit_131818_12 	Loose	26.73	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	103.43
megahit_133164_6	Strict	94.77	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	lsa-type ABC-F protein	100.00
megahit_133164_13 	Loose	32.53	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	95.42
megahit_14035_14 	Loose	24.33	isoniazid	antibiotic target alteration	antibiotic resistant ndh	142.55
megahit_14947_7 	Loose	32.52	aminoglycoside antibiotic	antibiotic target alteration	antibiotic resistant gidB	105.80
megahit_23589_12 	Loose	28.53	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	115.63
megahit_52543_6 	Loose	50.07	peptide antibiotic	antibiotic target alteration	daptomycin resistant gshF	99.74
megahit_54551_3 	Loose	27.05	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	105.31
megahit_57431_29 	Loose	23.79	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	122.46
megahit_117626_8 	Loose	59.25	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	102.35
megahit_120669_1 	Loose	56.85	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	101.26
megahit_128338_13 	Loose	45.9	peptide antibiotic	antibiotic target alteration	daptomycin resistant cls	99.79
megahit_133164_8 	Loose	41.89	peptide antibiotic	antibiotic target alteration	daptomycin resistant cls	100.00
megahit_25487_19 	Loose	29.69	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	61.65
megahit_31159_1 	Loose	30.38	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	109.52
megahit_88056_19 	Loose	26.36	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	93.51
