Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_15736_16 	Loose	34.26	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	253.25
megahit_15736_22 	Loose	31.72	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	39.75
megahit_18267_4 	Loose	32.26	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	95.38
megahit_18267_5 	Loose	33.33	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	102.92
megahit_18267_6 	Loose	27.49	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	96.48
megahit_18267_7 	Loose	24.34	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	77.49
megahit_18990_7 	Loose	23.36	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	80.58
megahit_19097_3 	Loose	27.98	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	92.90
megahit_19097_4 	Loose	36.74	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	101.37
megahit_19097_11 	Loose	28.33	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	89.32
megahit_19097_12 	Loose	25.0	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	89.32
megahit_19097_34 	Loose	37.5	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	44.96
megahit_19097_36 	Loose	38.38	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	66.63
megahit_19097_56 	Loose	31.39	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	90.29
megahit_19097_62 	Loose	30.84	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	103.05
megahit_21908_1 	Loose	33.17	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	102.80
megahit_22456_1 	Loose	25.32	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	310.79
megahit_22729_1 	Loose	41.3	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	30.13
megahit_22729_3 	Loose	30.0	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	82.68
megahit_23450_17 	Loose	26.85	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	62.00
megahit_28708_3 	Loose	34.34	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	102.17
megahit_28708_5 	Loose	39.13	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	98.78
megahit_28708_8 	Loose	28.41	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	54.50
megahit_29539_3 	Loose	33.66	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	105.90
megahit_29539_6 	Loose	33.33	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	85.38
megahit_29539_22 	Loose	31.13	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	107.74
megahit_31285_7 	Loose	32.39	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	78.47
megahit_31791_21 	Loose	33.97	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.34
megahit_31791_22 	Loose	35.83	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.87
megahit_31791_23 	Loose	22.14	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	89.02
megahit_33270_8 	Loose	33.33	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	118.99
megahit_33454_11 	Loose	29.49	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	87.12
megahit_33454_20 	Loose	35.57	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	102.77
megahit_34132_17 	Loose	26.48	phenicol antibiotic	antibiotic inactivation	chloramphenicol phosphotransferase	89.22
megahit_34132_26 	Loose	28.57	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	49.57
megahit_34132_27 	Loose	32.14	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	50.00
megahit_34132_54 	Loose	70.04	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	100.14
megahit_34132_60 	Loose	59.93	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	104.44
megahit_34132_81 	Loose	30.45	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.81
megahit_34132_86 	Loose	44.15	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase	100.48
megahit_39889_8 	Loose	27.66	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	93.12
megahit_42873_4 	Loose	29.2	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	75.47
megahit_42873_47 	Loose	38.7	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.20
megahit_42873_56 	Loose	47.18	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	97.79
megahit_42873_58 	Loose	29.52	tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	99.63
megahit_42873_68 	Loose	44.9	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	88.68
megahit_45166_2 	Loose	37.5	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	90.95
megahit_45166_4 	Loose	28.5	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	78.52
megahit_45166_6 	Loose	30.6	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	85.61
megahit_46827_6 	Loose	47.96	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	36.20
megahit_47361_6 	Loose	35.71	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.51
megahit_47361_11 	Loose	47.37	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	11.49
megahit_47361_12 	Loose	36.7	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	17.86
megahit_47361_22 	Loose	22.55	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00
megahit_47361_23 	Loose	28.27	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	67.09
megahit_47392_3 	Loose	29.22	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	173.29
megahit_53150_4 	Loose	23.56	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	53.67
megahit_53150_13 	Loose	25.97	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	101.15
megahit_53241_5 	Loose	26.43	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	94.07
megahit_56019_21 	Loose	22.69	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	90.85
megahit_56019_22 	Loose	27.7	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	91.13
megahit_56019_23 	Loose	31.67	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	32.92
megahit_58024_2 	Loose	36.84	nitroimidazole antibiotic	antibiotic target alteration	Antibiotic resistant Helicobacter pylori nitroreductase	104.76
megahit_58024_8 	Loose	71.87	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	100.51
megahit_58024_21 	Loose	42.66	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	92.76
megahit_58337_7 	Loose	34.8	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	95.35
megahit_58337_9 	Loose	28.35	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	96.27
megahit_58337_18 	Loose	40.48	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	92.31
megahit_59520_4 	Loose	29.15	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	167.97
megahit_63114_9 	Loose	28.22	peptide antibiotic	antibiotic target alteration	non-erm 23S ribosomal RNA methyltransferase (A1067)	107.78
megahit_64151_6 	Loose	28.87	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	70.92
megahit_64151_13 	Loose	37.01	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	110.44
megahit_64151_14 	Loose	46.67	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	98.70
megahit_64151_15 	Loose	35.82	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	92.47
megahit_64151_16 	Loose	34.74	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00
megahit_64605_25 	Loose	26.64	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	91.24
megahit_65212_4 	Loose	35.53	rifamycin antibiotic	antibiotic inactivation	rifampin phosphotransferase	65.05
megahit_65212_14 	Loose	36.59	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	100.73
megahit_65212_41 	Loose	27.1	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	148.29
megahit_67213_1 	Loose	32.21	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	51.71
megahit_67213_2 	Loose	30.71	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	123.26
megahit_67213_29 	Loose	33.98	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.21
megahit_67213_30 	Loose	34.58	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	103.28
megahit_68689_6 	Loose	26.25	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	64.45
megahit_68689_9 	Loose	30.8	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	77.46
megahit_69143_4 	Loose	28.75	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	90.21
megahit_69143_7 	Loose	25.25	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	90.59
megahit_78607_3 	Loose	23.15	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	95.10
megahit_78607_7 	Loose	26.07	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	103.73
megahit_78607_9 	Loose	23.42	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.39
megahit_78607_13 	Loose	29.27	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation	NmcA beta-lactamase	104.41
megahit_82945_1 	Loose	26.19	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	96.74
megahit_82945_2 	Loose	27.35	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	103.42
megahit_84062_9 	Loose	28.03	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	134.50
megahit_84062_10 	Loose	33.18	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	122.87
megahit_84062_24 	Loose	23.03	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	78.75
megahit_85458_3 	Loose	28.74	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	34.26
megahit_85458_16 	Loose	33.06	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	140.31
megahit_85458_24 	Loose	34.86	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	74.65
megahit_85458_25 	Loose	28.95	penam	antibiotic target replacement	methicillin resistant PBP2	119.51
megahit_85458_48 	Loose	28.02	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	64.00
megahit_85458_60 	Loose	40.93	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	103.88
megahit_85458_61 	Loose	28.0	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	111.56
megahit_85458_63 	Loose	28.49	glycopeptide antibiotic	antibiotic target alteration	vanZ; glycopeptide resistance gene cluster	100.97
megahit_85458_66 	Loose	26.74	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase	76.96
megahit_85458_96 	Loose	25.86	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	85.09
megahit_85458_108 	Loose	31.87	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	96.00
megahit_85458_118 	Loose	28.75	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	90.92
megahit_87145_2 	Loose	28.86	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	39.60
megahit_87145_3 	Loose	29.15	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	46.74
megahit_87145_11 	Loose	31.97	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	90.91
megahit_87145_12 	Loose	33.6	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	76.17
megahit_87145_13 	Loose	61.11	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	50.83
megahit_94483_20 	Loose	38.59	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	39.75
megahit_94483_27 	Loose	29.69	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	102.58
megahit_94483_29 	Loose	31.35	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	32.76
megahit_99772_7 	Loose	33.33	glycopeptide antibiotic	antibiotic target alteration	vanZ; glycopeptide resistance gene cluster	114.08
megahit_99772_11 	Loose	40.0	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	70.51
megahit_104372_4 	Loose	27.8	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	121.05
megahit_112012_10 	Loose	42.54	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	45.49
megahit_112930_5 	Loose	39.45	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.64
megahit_112930_8 	Loose	35.04	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	124.43
megahit_117983_1 	Loose	43.75	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	25.83
megahit_120318_5 	Loose	30.81	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	142.64
megahit_120318_16 	Loose	37.75	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	103.72
megahit_120318_33 	Loose	32.0	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	98.06
megahit_125625_5 	Loose	30.13	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	99.13
megahit_126729_9 	Loose	36.94	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	109.72
megahit_126729_21 	Loose	34.25	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	83.68
megahit_126729_24 	Loose	44.19	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.82
megahit_126826_14 	Loose	26.55	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	113.01
megahit_128331_2 	Loose	36.11	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	33.85
megahit_133251_7 	Loose	32.13	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	71.90
megahit_134176_1 	Loose	31.53	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	41.29
megahit_134176_8 	Loose	35.59	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	95.14
megahit_22729_14 	Loose	29.87	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	105.46
megahit_23450_15 	Loose	24.92	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	117.91
megahit_49966_16 	Loose	42.51	isoniazid; disinfecting agents and antiseptics	antibiotic target alteration	antibiotic resistant fabI	93.13
megahit_56019_11 	Loose	59.47	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	102.51
megahit_56019_12 	Loose	53.16	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	101.86
megahit_87145_15 	Loose	53.25	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	100.94
megahit_87145_16 	Loose	49.44	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant parC	103.38
megahit_64605_13 	Loose	24.82	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.06
