Contig	Cut_Off	Best_Identities	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence
megahit_36165_19 	Loose	36.79	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	81.37
megahit_36165_20 	Loose	55.7	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.57
megahit_36165_32 	Loose	36.27	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	94.86
megahit_36165_37 	Loose	33.67	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	148.29
megahit_36585_3 	Loose	26.23	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	82.61
megahit_39322_3 	Loose	30.36	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.55
megahit_43698_5 	Loose	44.29	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase	101.66
megahit_43698_9 	Loose	32.18	cephalosporin	antibiotic inactivation	SST beta-lactamase	101.32
megahit_43698_12 	Loose	29.76	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	97.90
megahit_43698_17 	Loose	31.73	peptide antibiotic	antibiotic target alteration	defensin resistant mprF	98.38
megahit_43698_19 	Loose	29.57	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	102.48
megahit_43698_20 	Loose	54.87	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	101.42
megahit_43698_21 	Loose	58.05	lincosamide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	89.31
megahit_44677_5 	Loose	36.84	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.04
megahit_44677_6 	Loose	38.52	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	103.80
megahit_44677_7 	Loose	36.89	tetracycline antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	102.25
megahit_45922_6 	Loose	33.48	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	88.00
megahit_45922_11 	Loose	35.15	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.82
megahit_48015_2 	Loose	31.98	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	50.16
megahit_48309_6 	Loose	52.94	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	110.85
megahit_49877_8 	Loose	68.81	fusidic acid	antibiotic target alteration	antibiotic resistant fusA	101.59
megahit_49877_10 	Loose	32.39	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	151.55
megahit_50343_5 	Loose	31.47	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	85.74
megahit_50343_12 	Loose	34.78	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	55.75
megahit_52189_6 	Loose	38.22	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	104.17
megahit_54814_2 	Loose	33.6	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.67
megahit_55665_5 	Loose	43.69	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	102.74
megahit_55665_6 	Loose	24.09	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	98.45
megahit_55665_12 	Loose	34.53	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	34.78
megahit_55665_16 	Loose	33.05	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	95.74
megahit_55665_18 	Loose	37.71	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	100.00
megahit_55665_19 	Loose	31.03	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.61
megahit_55665_20 	Loose	27.07	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.24
megahit_55665_22 	Loose	26.61	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	85.46
megahit_55665_25 	Loose	37.8	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	60.13
megahit_55775_4 	Loose	29.82	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	208.06
megahit_55775_9 	Loose	35.31	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	101.61
megahit_57705_10 	Loose	46.23	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.74
megahit_58317_1 	Loose	59.26	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	16.62
megahit_59452_1 	Loose	34.9	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	38.04
megahit_59452_2 	Loose	28.51	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	107.52
megahit_61314_14 	Loose	29.03	penam	antibiotic target replacement	methicillin resistant PBP2	120.16
megahit_62443_10 	Loose	35.05	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	29.61
megahit_63623_1 	Loose	27.45	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	121.51
megahit_66693_2 	Loose	41.86	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	61.50
megahit_68085_1 	Loose	31.85	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	77.92
megahit_68296_5 	Loose	25.42	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	94.57
megahit_68462_15 	Loose	28.65	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	72.54
megahit_68462_16 	Loose	27.71	peptide antibiotic	antibiotic target alteration	lipid A phosphatase	89.83
megahit_68462_21 	Loose	35.29	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	37.89
megahit_68462_23 	Loose	72.01	elfamycin antibiotic	antibiotic target alteration	elfamycin resistant EF-Tu	100.25
megahit_68462_38 	Loose	25.0	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	121.74
megahit_84579_3 	Loose	36.05	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	105.68
megahit_84579_6 	Loose	30.91	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	vga-type ABC-F protein	89.46
megahit_84579_9 	Loose	29.85	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	154.55
megahit_89181_12 	Loose	31.08	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	88.07
megahit_89181_16 	Loose	25.47	mupirocin	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	42.87
megahit_89855_2 	Loose	37.69	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	94.29
megahit_89855_9 	Loose	32.99	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00
megahit_93883_1 	Loose	22.02	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanK	111.20
megahit_94084_2 	Loose	27.19	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	98.45
megahit_102569_3 	Loose	23.18	fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	102.72
megahit_103017_6 	Loose	35.44	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	32.92
megahit_103017_14 	Loose	42.15	macrolide antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.44
megahit_103017_16 	Loose	33.48	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	98.69
megahit_103017_20 	Loose	30.52	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	47.94
megahit_103017_21 	Loose	27.53	aminoglycoside antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	99.22
megahit_110819_19 	Loose	29.28	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	78.43
megahit_110819_22 	Loose	33.7	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	102.79
megahit_110819_31 	Loose	31.03	carbapenem; cephalosporin; cephamycin; penam; penem	antibiotic inactivation	KHM beta-lactamase	232.37
megahit_111460_1 	Loose	36.43	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	38.80
megahit_111460_3 	Loose	32.48	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	79.08
megahit_120818_7 	Loose	27.88	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	92.62
megahit_120818_9 	Loose	37.86	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	98.37
megahit_120818_14 	Loose	33.01	macrolide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	18.01
megahit_13650_5 	Loose	28.93	isoniazid	antibiotic target alteration	antibiotic resistant ndh	120.09
megahit_15600_9 	Loose	54.13	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	103.96
megahit_15600_10 	Loose	58.81	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	105.02
megahit_28328_7 	Loose	29.15	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	104.70
megahit_34957_9 	Loose	28.57	aminoglycoside antibiotic	antibiotic target alteration	antibiotic resistant gidB	106.70
megahit_57705_15 	Loose	54.8	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrB	108.79
megahit_57705_16 	Loose	37.96	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	100.50
megahit_68296_19 	Loose	25.56	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	112.13
megahit_68462_4 	Loose	26.88	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	110.77
megahit_103017_8 	Loose	44.77	peptide antibiotic	antibiotic target alteration	daptomycin resistant cls	100.62
megahit_103017_12 	Loose	48.95	peptide antibiotic	antibiotic target alteration	daptomycin resistant pgsA	100.52
megahit_26789_9 	Loose	30.05	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	105.01
megahit_55665_10 	Loose	30.93	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	81.86
megahit_120818_13 	Loose	28.89	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	101.39
